"speaker_name","speaker_org_title","session_count"
"Cynthia Barnett","Director of Climate and Environment Reporting Initiatives, University of Florida",1
"Cynthia Dizikes","San Francisco Chronicle Investigative Reporter",1
"Dan Krauth","Investigative Reporter WABC-TV New York",1
"Dan Lamothe","The Washington Post",1
"Dan Taberski","Independent journalist",1
"Dan Zalewski","The New Yorker",1
"Dana Coester","WVU Media Innovation Center, Rural Digital Resilience Project, 100 Days in Appalachia, ",1
"Daniel Chang","KFF Health News",1
"Daniel Connolly","Senior Reporter, Law360 and Contributor to Institute for Public Service Reporting / WKNO Radio",1
"Daniela Ibarra","Investigative Reporter, KSAT",1
"Darya Marchenkova","Independent fact-checker and investigative researcher",1
"Dave Levinthal","Senior editor at NOTUS overseeing money and politics, investigations and special projects.",1
"David Hammer","Chief Investigative Reporter, WWL Louisiana",1
"Deborah J. Nelson","University of Maryland",1
"Desiree Hanford","Professor, Northwestern University/Medill",1
"Diara J. Townes","Engagement Journalist, NC Local, The Margin",1
"Doug MacMillan","The Washington Post",1
"Douglas Gillison","Reuters Financial Regulation Correspondent",1
"Dylan Freedman","The New York Times",1
"Ed Mahon","Spotlight PA",1
"Eli Hager","Reporter, ProPublica",1
"Elizabeth Dunbar","Executive Editor, MinnPost",1
"Elizabeth Koh","Investigative Reporter, The Boston Globe",1
"Emilia Díaz-Struck","Global Investigative Journalism Network",1
"Emily Saul","ALM Media and the New York Law Journal",1
"Emily Schwing","Independent Investigative Journalist",1
"Eric Ferrero","Executive Director, Fund for Investigative Journalism",1
"Erik Sandoval","Graham Media Group Director of Storytelling",1
"Evan Simon",NA,1
"Evan Vorpahl","Director of State Courts and Democracy, True North Research",1
"Evan Wyloge","Data Editor, Howard Center for Investigative Journalism at Arizona State University",1
"Ewald Scharfenberg","Armando.info, Co-Editor",1
"Fatemeh Jamalpour","Freelancer",1
"Felicia Sonmez","Growth and Development Reporter, Blue Ridge Public Radio",1
"Francisco Vara-Orta","Investigative Reporters & Editors",1
"Frank G. Runyeon","Senior Reporter, Law360 & President, Courthouse Reporters of New York",1
"Frederick Wherry","Princeton University",1
"Gabriel Pietrorazio","Senior Broadcast Field Correspondent, KJZZ",1
"Gary Harki","Investigations Editor, Bloomberg Law",1
"George Chidi",NA,1
"George Freeman","Executive Director, Media Law Resource Center",1
"George LeVines","Editor, Gun Violence Data Hub - The Trace",1
"Gilbert Corsey","WDRB News",1
"Gisselle Medina","Fresnoland",1
"Gonzalo Magana","ABC10/TEGNA, Director of Special Projects and Engagment ",1
"Greg Jaffe","The New York Times",1
"Haley Parsley","University of Maryland ",1
"Hamed Aleaziz","The New York Times",1
"Hannah Levintova","Special Projects Editor & Reporter at Mother Jones",1
"Hannah Natanson","Narrative enterprise reporter, The Washingston Post",1
"Hannah Natanson","Narrative enterprise reporter, The Washington Post",1
"Hannah Riley Fernandez","Director of Programming, the Center for Just Journalism",1
"Helu Wang","USA-Today Network Reporter ",1
"Holly Hacker","KFF Health News",1
"Hyuntaek Lee","Independent Journalist, South Korea",1
"Ijeoma Opara","Howard Center for Investigative Journalism",1
"Info at The IIJ","Info at The IIJ",1
"Irene Noguchi","Executive Producer, Enterprise Storytelling Unit at NPR",1
"J. Dale Shoemaker","Investigative Post",1
"Jacqueline Stenson","USC Annenberg Center for Health Journalism",1
"Jamie Corey","Global Research Director of Desmog",1
"Jamie Corey",NA,1
"Jamie Grey","InvestigateTV/Gray Media Director of Investigations",1
"Jane Mayer","The New Yorker",1
"Jarrett Ley","Visual Forensics Reporter, The Washington Post",1
"Jason Knowles","Consumer Investigator ",1
"Jason Moon","Senior Reporter/Producer, New Hampshire Public Radio",1
"Jatara McGee","WPXI-TV",1
"Jazmine Ulloa","New York Times",1
"Jeffrey Ostrowski","Bankrate",1
"Jenifer McKim","Senior editor, Investigations and Equity and Justice",1
"Jennifer Burns",NA,1
"Jennifer Forsyth","The New York Times, Washington Investigations Editor",1
